heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
18,VINYL,TOP SH,31,67,VINYL BEADS,9,228,30,NULL
55,alum,FIXED,27,21,wrap around rubber,1,211,30,NULL
34,ALUMINUM,FLUSH GLAZE,73,51,PUSH RUBBER,2,6,25,NULL
25,ALUMINUM,FLUSH GLAZE,66,9,PUSH RUBBER,2,6,40,NULL
58,ALUMINUM,FLUSH GLAZE,50,25,,2,6,25,NULL
82,alum,FIXED,58,12,SNAP BEADS,2,211,130,NULL
21,ALUMINUM,CURTAINWALL,61,6,PRESSURE PLATE,2,118,40,NULL
33,,BOTTOM SASH,25,9,SNAP BEADS,9,211,15,NULL
54,ALUMINUM,FLUSH GLAZE,50,41,PUSH RUBBER,2,6,45,NULL
50,VINYL,BOW WINDOW SASH,16,25,SNAP BEADS,1,62,35,NULL
23,VINYL,FIXED,44,3,SNAP BEADS,1,90,45,NULL
18,VINYL,BOTTOM SASH,34,37,SNAP BEADS,9,90,45,NULL
50,VINYL,FIXED,50,32,VINYL BEADS,9,228,40,NULL
31,alum,HOPPER WINDOW,32,25,SNAP BEADS,0,90,70,NULL
93,ALUMINUM,FLUSH GLAZE,37,2,flush glaze,2,228,25,NULL
19,VINYL,FIXED,51,60,SNAP BEADS,9,90,65,NULL
60,VINYL,SASH,19,24,SNAP BAEADS,1,228,50,NULL
44,VINYL,FIXED,47,42,SNAP BEADS,1,228,40,NULL
105,,,46,35,SCREW BEADS,2,6,75,NULL
43,VINYL,SLIDER,33,38,VINYL BEADS,9,11,25,NULL
53,ALUMINUM,,39,55,SNAP BEADS,12,228,30,NULL
54,VINYL,WINDOW,30,25,SNAP BEADS,1,62,35,NULL
43,,SLIDER,20,43,SNAP BEADS,9,118,30,NULL
51,,FIXED,62,27,VINYL BEADS,1,6,100,NULL
41,VINYL,SLIDER,20,38,SNAP BEADS,9,118,30,NULL
54,alum,FIXED,56,41,SNAP BEADS,2,211,70,NULL
26,ALUMINUM,CURTAINWALL,36,12,PRESSURE PLATE,5,62,80,NULL
37,ALUMINUM,FLUSH GLAZE,33,96,flush glaze,2,6,30,NULL
90,ALUMINUM,FLUSH GLAZE,40,30,,9,6,40,NULL
14,alum,FIXED,62,17,SNAP BEADS,9,62,395,NULL
46,,,33,10,,1,6,60,NULL
62,alum,SLIDER,50,31,SNAP BEADS,10,90,45,NULL
21,wood,,18,24,putty,2,228,170,NULL
41,alum,FIXED,33,35,VINYL BEADS,9,62,45,NULL
28,ALUMINUM,FLUSH GLAZE,32,36,flush glaze,2,118,25,NULL
59,,FINTUBE,68,19,SCREW BEADS,2,211,65,NULL
48,ALUM,FIXED,32,11,SNAP BEADS,9,90,70,NULL
26,ALUMINUM,FIXED,28,90,SNAP BEADS,1,6,50,NULL
43,VINYL,FIXED,26,39,VINYL BEADS,9,62,25,NULL
104,ALUMINUM,FLUSH GLAZE,10,5,PUSH RUBBER,5,228,25,NULL
43,alum,FIXED,13,52,SCREW BEADS,2,62,35,NULL
74,alum,,23,12,SCREW BEADS,5,62,80,NULL
73,,FIXED,27,48,VINYL BEADS,1,118,55,NULL
53,VINYL,SLIDER,20,28,SNAP BEADS,9,90,10,NULL
58,450,,64,38,wrap around rubber,2,211,45,NULL
40,,FIXED,26,40,SNAP BEADS,9,11,5,NULL
17,ALUMINUM,,103,7,SNAP BEADS,5,6,30,NULL
59,,SNAP SASH,108,48,SNAP BEADS,2,211,60,NULL
49,VINYL,FIXED,18,38,SNAP BEADS,9,11,70,NULL
73,VINYL,FIXED,45,22,SNAP BEADS,1,62,100,NULL
37,,,31,114,SCREW BEADS,2,6,35,NULL
